,session_id,order_id,order_title
186,323,2,تلاوت آياتي از قرآن مجيد
187,323,3,تصويب اصلاحات كميسيون درمورد لايحه مديريت بحران كشور (جهت تأمين نظر شوراي نگهبان)،(ثبت90)
188,323,4,تصويب طرح حمايت از مرمت و احياي بافت‌هاي تاريخي ـ‌ فرهنگي (ثبت 314)
189,323,5,ادامه رسيدگي به طرح ساماندهي صنعت خودرو (ثبت 392)
190,323,6,رد تقاضاي مسكوت ماندن طرح ساماندهي صنعت خودرو (ثبت 392)
191,323,7,اعلام وصول (2) فقره لايحه
192,323,8,قرائت گزارش نهايي كميسيون صنايع و معادن در مورد تحقيق و تفحص از عملكرد شركت ملي صنايع مس ايران و ارجاع آن به قوه قضائيه
193,323,9,ناطقان جلسه آقايان: رضا انصاري، محمد خالدي‌سردشتي و عليرضا سليمي و خانم‌ها: فاطمه سعيدي و هاجر چناراني
194,323,10,اعلام وصول (2) فقره سؤال
195,323,11,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
196,323,12,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
197,324,1,اعلام رسميت جلسه و قرائت دستور
198,324,2,تلاوت آياتي از قرآن مجيد
199,324,3,ـ تصويب كليات طرح تشديد مجازات اسيدپاشي و حمايت از بزه‌ديدگان ناشي از آن و بحث و بررسي درخصوص جزئيات آن (ثبت 379)
200,324,4,ـ اعلام وصول طرح تعويق كنكور سراسري به مدت حداقل دو ماه با قيد دوفوريت و رد فوريت آن (ثبت 574)
201,324,5,اعلام وصول (1) فقره سؤال
202,324,6,ـ ناطقان جلسه خانم هاجر چناراني و آقايان: قاسم ساعدي، علي ابراهيمي، محمدرضا صباغيان‌بافقي و سيدمهدي مقدسي
203,324,7,ـ تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
204,324,8,ـ تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
205,324,9,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
206,325,1,اعلام رسميت جلسه و قرائت دستور
207,325,2,تلاوت آياتي از قرآن مجيد
208,325,3,تبريك نايب‌رئيس مجلس شوراي اسلامي به مناسبت ولادت حضرت امام حسن‌مجتبي (عليه السلام)
209,325,4,ادامه رسيدگي به طرح تشديد مجازات اسيدپاشي و حمايت از بزه‌ديدگان ناشي از آن (ثبت 379)
210,325,5,اعلام وصول لايحه الحاق يك تبصره به ماده (6) قانون مبارزه با پولشويي با قيد دوفوريت و تصويب يك‌فوريت آن (ثبت 575)
211,325,6,طرح سؤال‌هاي آقاي جليل رحيمي‌جهان‌آبادي نماينده تربت‌جام، تايباد و باخرز و تعدادي از نمايندگان مجلس از آقاي عبدالرضا رحماني‌فضلي وزير كشور
212,325,7,طرح سؤال آقاي وليالله نانواكناري نماينده بابلسر و فريدون‌كنار و تعدادي از نمايندگان مجلس از آقاي عبدالرضا رحماني‌فضلي وزير كشور
213,325,8,ناطقان جلسه آقايان: غلامرضا كاتب، مهرداد لاهوتي، اصغر مسعودي، عبدالحميد خدري و همايون يوسفي
214,325,9,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
215,326,1,اعلام رسميت جلسه و قرائت دستور
216,326,2,تلاوت آياتي از قرآن مجيد
217,326,3,ادامه رسيدگي به طرح تشديد مجازات اسيدپاشي و حمايت از بزه‌ديدگان ناشي از آن (ثبت 379)
218,326,4,قرائت گزارش كميسيون اصل (90) قانون اساسي درخصوص گزارش كميسيون انرژي پيرامون حادثه آتش‌سوزي پتروشيمي بوعلي‌سيناي ماهشهر
219,326,5,رد طرح جامع مديريت شهري و روستايي (ثبت 239)
220,326,6,اعلام وصول (4) فقره سؤال
221,326,7,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
222,326,8,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
223,326,9,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
224,327,1,اعلام رسميت جلسه و قرائت دستور
225,327,2,تلاوت آياتي از قرآن مجيد
226,327,3,سخنراني سردار سرلشكر پاسدار غلامعلي رشيد فرمانده قرارگاه مركزي خاتم‌الانبياء به مناسبت سوم خرداد روز آزاد‌سازي خرمشهر و چهارم خرداد روز ملي مقاومت و پايداري مردم دزفول
227,327,4,ادامه رسيدگي به طرح ساماندهي صنعت خودرو و ارجاع آن به كميسيون مربوطه (ثبت 392)
228,327,5,تصويب اصلاحات كميسيون درخصوص طرح اصلاح بند (5) ماده (6) قانون اجراي سياست‌‌هاي كلي اصل (44) قانون اساسي با اصلاحات و الحاقات بعدي آن (جهت تأمين نظر شوراي نگهبان)، (ثبت 420)
229,327,6,تصويب اصلاحات كميسيون درخصوص لايحه حفاظت از خاك (جهت تأمين نظر شوراي نگهبان 3)، (ثبت 91)
230,327,7,قرائت گزارش كميسيون فرهنگي مبني بر عدم اجراي قانون حمايت از آمران به معروف و ناهيان از منكر و ارجاع آن به قوه قضائيه
231,327,8,بحث و بررسي درخصوص طرح اصلاح قانون تعيين محدوده حوزه‌هاي انتخاباتي مجلس شوراي اسلامي مصوب 30/1/1366 و اصلاحات و الحاقات بعدي آن (ثبت 217)
232,327,9,ناطقان جلسه آقايان: محمدباقر سعادت، حسين مقصودي،‌ حسن نوروزي، نصراله پژمانفر و حسينعلي شهرياري
233,327,10,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
234,327,11,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
235,328,1,اعلام رسميت جلسه و قرائت دستور
236,328,2,تلاوت آياتي از قرآن مجيد
237,328,3,انتخاب اعضاي هيأت‌رئيسه مجلس شوراي اسلامي (اجلاسيه چهارم)
238,328,4,رد طرح اصلاح قانون تعيين محدوده حوزه‌هاي انتخاباتي مجلس شوراي اسلامي مصوب 30/1/1366 و اصلاحات و الحاقات بعدي آن (ثبت 217)
239,328,5,ـ تصويب طرح اصلاح مواد (1) و (10) قانون نحوه فعاليت احزاب و گروه‌هاي سياسي (ثبت 390)
240,328,6,بيانات رئيس محترم مجلس شوراي اسلامي درخصوص برگزاري طرح معامله قرن و اهميت لزوم شركت در راهپيمايي روز قدس
241,328,7,انجام مراسم تحليف اعضاي هيأت‌رئيسه مجلس شوراي اسلامي
242,328,8,ناطقان جلسه آقايان: قلي اله‌قلي‌زاده، حسينعلي حاجي‌دليگاني، محمد كاظمي و خانم سكينه الماسي
243,328,9,اعلام وصول (3) فقره سؤال
244,328,10,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
245,328,11,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
246,328,12,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص فرارسيدن روز جهاني قدس ودعوت براي شركت در راهپيمايي اين روز
247,328,13,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص حمايت از اقدامات سازمان انرژي اتمي جهت مقابله با تحريم‌ها
248,328,14,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
249,329,1,اعلام رسميت جلسه و قرائت دستور
250,329,2,تلاوت آياتي از قرآن مجيد
